pizza_id;pizza_type_id;size;price
bbq_ckn_s;bbq_ckn;S;1275
bbq_ckn_m;bbq_ckn;M;1675
bbq_ckn_l;bbq_ckn;L;2075
cali_ckn_s;cali_ckn;S;1275
cali_ckn_m;cali_ckn;M;1675
cali_ckn_l;cali_ckn;L;2075
ckn_alfredo_s;ckn_alfredo;S;1275
ckn_alfredo_m;ckn_alfredo;M;1675
ckn_alfredo_l;ckn_alfredo;L;2075
ckn_pesto_s;ckn_pesto;S;1275
ckn_pesto_m;ckn_pesto;M;1675
ckn_pesto_l;ckn_pesto;L;2075
southw_ckn_s;southw_ckn;S;1275
southw_ckn_m;southw_ckn;M;1675
southw_ckn_l;southw_ckn;L;2075
thai_ckn_s;thai_ckn;S;1275
thai_ckn_m;thai_ckn;M;1675
thai_ckn_l;thai_ckn;L;2075
big_meat_s;big_meat;S;12
big_meat_m;big_meat;M;16
big_meat_l;big_meat;L;205
classic_dlx_s;classic_dlx;S;12
classic_dlx_m;classic_dlx;M;16
classic_dlx_l;classic_dlx;L;205
hawaiian_s;hawaiian;S;105
hawaiian_m;hawaiian;M;1325
hawaiian_l;hawaiian;L;165
ital_cpcllo_s;ital_cpcllo;S;12
ital_cpcllo_m;ital_cpcllo;M;16
ital_cpcllo_l;ital_cpcllo;L;205
napolitana_s;napolitana;S;12
napolitana_m;napolitana;M;16
napolitana_l;napolitana;L;205
pep_msh_pep_s;pep_msh_pep;S;11
pep_msh_pep_m;pep_msh_pep;M;145
pep_msh_pep_l;pep_msh_pep;L;175
pepperoni_s;pepperoni;S;975
pepperoni_m;pepperoni;M;125
pepperoni_l;pepperoni;L;1525
the_greek_s;the_greek;S;12
the_greek_m;the_greek;M;16
the_greek_l;the_greek;L;205
the_greek_xl;the_greek;XL;255
the_greek_xxl;the_greek;XXL;3595
brie_carre_s;brie_carre;S;2365
calabrese_s;calabrese;S;1225
calabrese_m;calabrese;M;1625
calabrese_l;calabrese;L;2025
ital_supr_s;ital_supr;S;125
ital_supr_m;ital_supr;M;165
ital_supr_l;ital_supr;L;2075
peppr_salami_s;peppr_salami;S;125
peppr_salami_m;peppr_salami;M;165
peppr_salami_l;peppr_salami;L;2075
prsc_argla_s;prsc_argla;S;125
prsc_argla_m;prsc_argla;M;165
prsc_argla_l;prsc_argla;L;2075
sicilian_s;sicilian;S;1225
sicilian_m;sicilian;M;1625
sicilian_l;sicilian;L;2025
soppressata_s;soppressata;S;125
soppressata_m;soppressata;M;165
soppressata_l;soppressata;L;2075
spicy_ital_s;spicy_ital;S;125
spicy_ital_m;spicy_ital;M;165
spicy_ital_l;spicy_ital;L;2075
spinach_supr_s;spinach_supr;S;125
spinach_supr_m;spinach_supr;M;165
spinach_supr_l;spinach_supr;L;2075
five_cheese_s;five_cheese;S;125
five_cheese_m;five_cheese;M;155
five_cheese_l;five_cheese;L;185
four_cheese_s;four_cheese;S;1175
four_cheese_m;four_cheese;M;1475
four_cheese_l;four_cheese;L;1795
green_garden_s;green_garden;S;12
green_garden_m;green_garden;M;16
green_garden_l;green_garden;L;2025
ital_veggie_s;ital_veggie;S;1275
ital_veggie_m;ital_veggie;M;1675
ital_veggie_l;ital_veggie;L;21
mediterraneo_s;mediterraneo;S;12
mediterraneo_m;mediterraneo;M;16
mediterraneo_l;mediterraneo;L;2025
mexicana_s;mexicana;S;12
mexicana_m;mexicana;M;16
mexicana_l;mexicana;L;2025
spin_pesto_s;spin_pesto;S;125
spin_pesto_m;spin_pesto;M;165
spin_pesto_l;spin_pesto;L;2075
spinach_fet_s;spinach_fet;S;12
spinach_fet_m;spinach_fet;M;16
spinach_fet_l;spinach_fet;L;2025
veggie_veg_s;veggie_veg;S;12
veggie_veg_m;veggie_veg;M;16
veggie_veg_l;veggie_veg;L;2025
